State,Income,Sample Sizec,Prevalence (Percent),Standard Error,95% CId (Percent),|| ||,Weighted Numbere,95% CId (Weighted Number)
U.S. Totalf,"< $15,000",20945,20.0,0.59,(18.9–21.2),||,2784319,"(2,610,022–2,958,615)"
U.S. Totalf,"$15,000–<$25,000",34700,17.7,0.44,(16.8–18.5),||,3490241,"(3,307,005–3,673,478)"
U.S. Totalf,"$25,000–<$50,000",90337,15.0,0.27,(14.4–15.5),||,7213090,"(6,942,163–7,484,018)"
U.S. Totalf,"$50,000–<$75,000",58679,13.4,0.30,(12.8–14.0),||,4035665,"(3,846,375–4,224,955)"
U.S. Totalf,">=$75,000",133014,13.1,0.21,(12.7–13.5),||,10026586,"(9,699,669–10,353,503)"
AL,"< $15,000",279,21.4,3.12,(15.2–27.5),||,53186,"(36,126–70,247)"
AL,"$15,000–<$25,000",430,17.5,2.46,(12.7–22.3),||,67738,"(47,399–88,077)"
AL,"$25,000–<$50,000",1014,17.6,1.68,(14.3–20.9),||,148250,"(117,803–178,698)"
AL,"$50,000–<$75,000",590,12.0,1.81,(8.5–15.6),||,65873,"(45,080–86,666)"
AL,">=$75,000",1149,13.0,1.43,(10.3–15.8),||,128686,"(99,012–158,359)"
AK,"< $15,000",263,17.2,3.17,(11.0–23.5),||,4329,"(2,620–6,038)"
AK,"$15,000–<$25,000",386,14.7,2.21,(10.4–19.1),||,5191,"(3,681–6,701)"
AK,"$25,000–<$50,000",1000,18.0,2.01,(14.1–22.0),||,19885,"(15,029–24,742)"
AK,"$50,000–<$75,000",776,12.5,1.68,(9.2–15.8),||,8844,"(6,387–11,302)"
AK,">=$75,000",2033,10.6,1.02,(8.6–12.6),||,21931,"(17,656–26,205)"
AZ,"< $15,000",582,20.7,2.59,(15.6–25.8),||,62199,"(45,154–79,244)"
AZ,"$15,000–<$25,000",968,16.1,1.81,(12.5–19.6),||,85940,"(65,076–106,804)"
AZ,"$25,000–<$50,000",2469,16.0,1.04,(13.9–18.0),||,200721,"(173,097–228,346)"
AZ,"$50,000–<$75,000",1504,13.3,1.23,(10.9–15.7),||,98873,"(79,788–117,957)"
AZ,">=$75,000",3099,14.8,0.85,(13.1–16.5),||,243773,"(214,592–272,954)"
AR,"< $15,000",366,18.5,2.91,(12.8–24.2),||,31075,"(20,629–41,520)"
AR,"$15,000–<$25,000",610,20.1,2.73,(14.8–25.5),||,54565,"(38,103–71,027)"
AR,"$25,000–<$50,000",1243,13.0,1.43,(10.2–15.8),||,74829,"(57,826–91,832)"
AR,"$50,000–<$75,000",714,9.2,1.44,(6.3–12.0),||,27806,"(18,912–36,699)"
AR,">=$75,000",1113,10.9,1.33,(8.3–13.5),||,56907,"(42,515–71,299)"
CA,"< $15,000",730,15.7,1.75,(12.3–19.2),||,532082,"(406,494–657,669)"
CA,"$15,000–<$25,000",662,16.0,1.92,(12.2–19.7),||,454894,"(337,727–572,061)"
CA,"$25,000–<$50,000",1135,13.7,1.32,(11.1–16.3),||,706594,"(564,112–849,077)"
CA,"$50,000–<$75,000",751,13.5,1.60,(10.3–16.6),||,458828,"(345,718–571,937)"
CA,">=$75,000",2471,15.1,0.96,(13.2–17.0),||,1718211,"(1,491,226–1,945,196)"
CO,"< $15,000",406,25.0,2.60,(19.9–30.1),||,41863,"(31,995–51,731)"
CO,"$15,000–<$25,000",684,16.8,1.66,(13.6–20.1),||,48146,"(38,144–58,147)"
CO,"$25,000–<$50,000",2022,15.5,0.99,(13.6–17.5),||,138897,"(120,296–157,499)"
CO,"$50,000–<$75,000",1390,13.9,1.23,(11.5–16.3),||,82752,"(67,162–98,342)"
CO,">=$75,000",3887,14.5,0.69,(13.1–15.8),||,249246,"(224,455–274,036)"
CT,"< $15,000",284,24.0,3.42,(17.3–30.7),||,24305,"(16,710–31,901)"
CT,"$15,000–<$25,000",504,16.4,2.46,(11.5–21.2),||,29044,"(19,788–38,300)"
CT,"$25,000–<$50,000",1299,14.7,1.30,(12.2–17.3),||,66521,"(54,273–78,768)"
CT,"$50,000–<$75,000",968,16.4,1.56,(13.3–19.4),||,53731,"(42,946–64,515)"
CT,">=$75,000",3273,15.2,0.97,(13.3–17.1),||,158720,"(136,957–180,483)"
DE,"< $15,000",138,29.5,5.57,(18.5–40.5),||,8495,"(4,617–12,372)"
DE,"$15,000–<$25,000",285,18.2,3.49,(11.3–25.1),||,11162,"(6,443–15,880)"
DE,"$25,000–<$50,000",744,12.6,1.52,(9.6–15.5),||,20531,"(15,461–25,601)"
DE,"$50,000–<$75,000",536,16.1,2.74,(10.7–21.5),||,17698,"(11,004–24,391)"
DE,">=$75,000",1147,13.4,1.39,(10.6–16.1),||,34031,"(26,638–41,423)"
DC,"< $15,000",147,25.6,5.00,(15.7–35.5),||,7309,"(4,048–10,570)"
DC,"$15,000–<$25,000",175,17.1,3.54,(10.1–24.1),||,5426,"(3,115–7,737)"
DC,"$25,000–<$50,000",393,18.6,2.80,(13.1–24.1),||,13298,"(8,900–17,697)"
DC,"$50,000–<$75,000",289,18.6,2.96,(12.7–24.4),||,9783,"(6,457–13,109)"
DC,">=$75,000",1547,17.2,1.30,(14.7–19.8),||,43412,"(36,449–50,375)"
GA,"< $15,000",470,16.1,2.28,(11.6–20.6),||,75524,"(53,693–97,355)"
GA,"$15,000–<$25,000",796,17.6,2.19,(13.3–21.9),||,133010,"(97,218–168,802)"
GA,"$25,000–<$50,000",1705,16.1,1.49,(13.2–19.1),||,276541,"(221,509–331,573)"
GA,"$50,000–<$75,000",1050,14.0,1.61,(10.8–17.2),||,151364,"(114,833–187,895)"
GA,">=$75,000",2053,12.2,1.13,(10.0–14.4),||,273055,"(220,767–325,342)"
HI,"< $15,000",343,19.9,3.23,(13.5–26.2),||,9115,"(5,880–12,350)"
HI,"$15,000–<$25,000",536,14.7,2.12,(10.6–18.9),||,11064,"(7,758–14,371)"
HI,"$25,000–<$50,000",1664,15.8,1.26,(13.3–18.3),||,36661,"(30,522–42,799)"
HI,"$50,000–<$75,000",1139,11.0,1.16,(8.7–13.3),||,18049,"(14,209–21,889)"
HI,">=$75,000",2901,12.0,0.87,(10.3–13.7),||,52814,"(44,857–60,770)"
ID,"< $15,000",296,21.6,2.96,(15.8–27.4),||,11671,"(8,131–15,210)"
ID,"$15,000–<$25,000",589,15.2,1.73,(11.8–18.6),||,17100,"(13,031–21,169)"
ID,"$25,000–<$50,000",1876,15.8,1.10,(13.7–18.0),||,60303,"(51,450–69,155)"
ID,"$50,000–<$75,000",970,11.6,1.32,(9.1–14.2),||,24346,"(18,606–30,085)"
ID,">=$75,000",1744,12.6,0.97,(10.7–14.5),||,50616,"(42,623–58,609)"
IL,"< $15,000",118,25.4,5.48,(14.6–36.3),||,88526,"(44,560–132,491)"
IL,"$15,000–<$25,000",216,12.2,2.70,(6.9–17.5),||,78404,"(42,462–114,347)"
IL,"$25,000–<$50,000",631,12.5,1.81,(9.0–16.1),||,244865,"(171,301–318,428)"
IL,"$50,000–<$75,000",381,11.1,1.77,(7.6–14.6),||,132414,"(89,692–175,137)"
IL,">=$75,000",1063,13.9,1.37,(11.2–16.6),||,426786,"(338,701–514,870)"
IN,"< $15,000",493,25.8,2.68,(20.6–31.1),||,71405,"(54,181–88,629)"
IN,"$15,000–<$25,000",885,20.5,1.75,(17.0–23.9),||,89338,"(72,350–106,326)"
IN,"$25,000–<$50,000",2115,15.9,1.01,(13.9–17.9),||,179706,"(155,380–204,032)"
IN,"$50,000–<$75,000",1367,13.4,1.13,(11.2–15.6),||,97488,"(80,362–114,614)"
IN,">=$75,000",2686,11.6,0.77,(10.1–13.1),||,167193,"(144,283–190,102)"
IA,"< $15,000",456,27.6,3.17,(21.3–33.8),||,31241,"(22,640–39,841)"
IA,"$15,000–<$25,000",746,17.8,1.94,(14.0–21.7),||,30319,"(23,218–37,420)"
IA,"$25,000–<$50,000",2162,14.2,1.09,(12.1–16.4),||,75341,"(63,116–87,566)"
IA,"$50,000–<$75,000",1494,10.6,1.02,(8.6–12.6),||,40807,"(32,670–48,944)"
IA,">=$75,000",2921,10.9,0.77,(9.4–12.4),||,88545,"(75,614–101,477)"
KS,"< $15,000",637,20.8,2.12,(16.6–25.0),||,19004,"(14,814–23,194)"
KS,"$15,000–<$25,000",1207,19.6,1.50,(16.6–22.5),||,31726,"(26,430–37,022)"
KS,"$25,000–<$50,000",3988,17.0,0.80,(15.4–18.5),||,85686,"(77,073–94,298)"
KS,"$50,000–<$75,000",2867,14.6,0.88,(12.9–16.3),||,50654,"(44,108–57,200)"
KS,">=$75,000",5598,12.4,0.55,(11.3–13.4),||,86230,"(78,316–94,143)"
KY,"< $15,000",408,28.0,3.30,(21.5–34.5),||,62414,"(45,479–79,349)"
KY,"$15,000–<$25,000",561,24.0,2.59,(18.9–29.1),||,81563,"(61,683–101,442)"
KY,"$25,000–<$50,000",1222,16.0,1.46,(13.1–18.9),||,126223,"(101,979–150,466)"
KY,"$50,000–<$75,000",691,12.6,1.55,(9.5–15.6),||,60649,"(45,348–75,950)"
KY,">=$75,000",1215,11.4,1.15,(9.1–13.6),||,95509,"(75,633–115,384)"
LA,"< $15,000",372,24.1,2.78,(18.7–29.6),||,73419,"(55,784–91,053)"
LA,"$15,000–<$25,000",495,21.6,2.70,(16.3–26.9),||,82704,"(59,384–106,024)"
LA,"$25,000–<$50,000",1076,15.9,1.52,(12.9–18.8),||,121702,"(96,877–146,527)"
LA,"$50,000–<$75,000",645,14.9,1.91,(11.1–18.6),||,59041,"(42,904–75,178)"
LA,">=$75,000",1417,10.0,0.93,(8.1–11.8),||,88697,"(72,115–105,279)"
ME,"< $15,000",454,36.2,3.82,(28.7–43.7),||,15563,"(11,108–20,018)"
ME,"$15,000–<$25,000",927,27.1,2.42,(22.4–31.9),||,21910,"(17,239–26,581)"
ME,"$25,000–<$50,000",2625,16.4,1.15,(14.2–18.7),||,38730,"(32,911–44,550)"
ME,"$50,000–<$75,000",1739,14.6,1.27,(12.1–17.1),||,22675,"(18,458–26,892)"
ME,">=$75,000",3060,14.1,0.91,(12.3–15.9),||,43668,"(37,816–49,520)"
MD,"< $15,000",566,20.0,2.43,(15.2–24.8),||,35581,"(26,302–44,860)"
MD,"$15,000–<$25,000",997,15.8,1.68,(12.5–19.1),||,46775,"(36,262–57,288)"
MD,"$25,000–<$50,000",2550,14.4,1.07,(12.3–16.5),||,110339,"(93,032–127,646)"
MD,"$50,000–<$75,000",1853,14.0,1.17,(11.7–16.3),||,76325,"(63,031–89,619)"
MD,">=$75,000",5874,13.4,0.65,(12.1–14.7),||,247260,"(222,521–271,998)"
MA,"< $15,000",283,23.0,3.65,(15.8–30.1),||,45182,"(29,051–61,313)"
MA,"$15,000–<$25,000",503,18.9,2.17,(14.7–23.2),||,67290,"(51,252–83,327)"
MA,"$25,000–<$50,000",1073,19.1,1.83,(15.5–22.7),||,152733,"(119,905–185,561)"
MA,"$50,000–<$75,000",794,17.2,1.85,(13.5–20.8),||,93925,"(71,807–116,042)"
MA,">=$75,000",2765,14.4,0.84,(12.8–16.1),||,287368,"(252,601–322,135)"
MI,"< $15,000",457,26.7,2.68,(21.5–32.0),||,103693,"(79,978–127,408)"
MI,"$15,000–<$25,000",705,18.1,1.87,(14.4–21.8),||,108876,"(84,698–133,055)"
MI,"$25,000–<$50,000",1982,16.2,1.11,(14.0–18.3),||,276624,"(235,982–317,266)"
MI,"$50,000–<$75,000",1324,15.0,1.31,(12.5–17.6),||,168998,"(137,822–200,174)"
MI,">=$75,000",2791,15.2,0.98,(13.3–17.1),||,341933,"(294,591–389,274)"
MN,"< $15,000",464,22.5,2.76,(17.1–28.0),||,29412,"(21,070–37,753)"
MN,"$15,000–<$25,000",933,17.8,1.56,(14.7–20.9),||,47698,"(38,783–56,613)"
MN,"$25,000–<$50,000",3187,12.9,0.72,(11.5–14.3),||,115224,"(101,844–128,604)"
MN,"$50,000–<$75,000",2385,12.8,0.87,(11.1–14.6),||,83724,"(71,815–95,634)"
MN,">=$75,000",6012,11.8,0.50,(10.8–12.8),||,189892,"(173,471–206,313)"
MS,"< $15,000",318,17.5,2.53,(12.5–22.5),||,31192,"(22,169–40,216)"
MS,"$15,000–<$25,000",522,19.9,2.36,(15.3–24.5),||,50542,"(37,450–63,635)"
MS,"$25,000–<$50,000",1131,14.6,1.41,(11.8–17.3),||,83511,"(66,389–100,633)"
MS,"$50,000–<$75,000",558,11.1,1.93,(7.3–14.9),||,31628,"(20,129–43,128)"
MS,">=$75,000",849,10.7,1.52,(7.7–13.7),||,49179,"(34,686–63,672)"
MO,"< $15,000",1132,24.9,2.28,(20.4–29.3),||,97157,"(76,333–117,980)"
MO,"$15,000–<$25,000",1155,17.2,1.84,(13.6–20.8),||,62236,"(47,960–76,512)"
MO,"$25,000–<$50,000",2474,15.1,1.14,(12.8–17.3),||,138479,"(116,410–160,547)"
MO,"$50,000–<$75,000",1683,12.1,1.22,(9.7–14.5),||,79488,"(62,797–96,180)"
MO,">=$75,000",3239,11.6,0.86,(9.9–13.3),||,172705,"(146,503–198,907)"
MT,"< $15,000",314,30.1,3.59,(23.1–37.2),||,11443,"(8,112–14,775)"
MT,"$15,000–<$25,000",585,18.6,2.14,(14.4–22.7),||,15493,"(11,607–19,379)"
MT,"$25,000–<$50,000",1501,15.3,1.24,(12.9–17.8),||,31220,"(25,895–36,545)"
MT,"$50,000–<$75,000",1020,12.0,1.31,(9.5–14.6),||,16601,"(12,850–20,351)"
MT,">=$75,000",1784,11.6,0.95,(9.8–13.5),||,29805,"(24,804–34,806)"
NE,"< $15,000",631,19.6,2.34,(15.0–24.2),||,12597,"(9,334–15,861)"
NE,"$15,000–<$25,000",1196,12.5,1.41,(9.7–15.3),||,14456,"(11,054–17,859)"
NE,"$25,000–<$50,000",3638,12.6,0.81,(11.0–14.2),||,43223,"(37,472–48,975)"
NE,"$50,000–<$75,000",2473,12.7,1.08,(10.6–14.8),||,29963,"(24,537–35,388)"
NE,">=$75,000",4584,10.3,0.66,(9.0–11.6),||,52024,"(45,215–58,832)"
NV,"< $15,000",111,,,(.–.),||,13918,(.–.)
NV,"$15,000–<$25,000",225,14.7,2.79,(9.2–20.2),||,30666,"(18,908–42,424)"
NV,"$25,000–<$50,000",666,15.1,2.10,(11.0–19.3),||,97545,"(68,822–126,269)"
NV,"$50,000–<$75,000",405,11.7,2.06,(7.7–15.8),||,36552,"(23,380–49,724)"
NV,">=$75,000",809,11.4,1.74,(7.9–14.8),||,77766,"(53,084–102,447)"
NH,"< $15,000",195,31.8,5.17,(21.6–42.0),||,9170,"(5,583–12,756)"
NH,"$15,000–<$25,000",406,24.4,3.70,(17.2–31.7),||,14187,"(9,058–19,315)"
NH,"$25,000–<$50,000",1217,19.3,1.77,(15.9–22.8),||,35483,"(28,303–42,664)"
NH,"$50,000–<$75,000",939,17.8,2.08,(13.7–21.9),||,27335,"(20,257–34,414)"
NH,">=$75,000",2099,16.4,1.15,(14.2–18.7),||,69531,"(59,230–79,832)"
NJ,"< $15,000",316,15.2,2.29,(10.7–19.7),||,38708,"(26,820–50,596)"
NJ,"$15,000–<$25,000",608,18.6,2.24,(14.2–23.1),||,85421,"(62,625–108,218)"
NJ,"$25,000–<$50,000",1280,13.4,1.20,(11.0–15.7),||,147293,"(119,742–174,844)"
NJ,"$50,000–<$75,000",821,12.7,1.43,(9.9–15.5),||,90221,"(69,286–111,156)"
NJ,">=$75,000",2711,10.8,0.82,(9.2–12.4),||,279851,"(236,366–323,335)"
NM,"< $15,000",501,17.3,2.12,(13.2–21.5),||,22806,"(16,850–28,762)"
NM,"$15,000–<$25,000",757,14.9,1.69,(11.6–18.2),||,29728,"(22,706–36,749)"
NM,"$25,000–<$50,000",1719,14.5,1.18,(12.2–16.8),||,64648,"(53,748–75,549)"
NM,"$50,000–<$75,000",862,12.3,1.54,(9.3–15.3),||,27210,"(20,163–34,257)"
NM,">=$75,000",1485,13.0,1.28,(10.4–15.5),||,49223,"(39,107–59,339)"
NY,"< $15,000",1964,20.8,1.67,(17.5–24.1),||,165906,"(136,413–195,399)"
NY,"$15,000–<$25,000",3506,15.0,1.09,(12.8–17.1),||,194663,"(164,820–224,505)"
NY,"$25,000–<$50,000",8166,14.4,0.68,(13.0–15.7),||,416455,"(375,740–457,170)"
NY,"$50,000–<$75,000",4992,13.3,0.88,(11.6–15.1),||,228343,"(196,760–259,926)"
NY,">=$75,000",10513,13.1,0.58,(11.9–14.2),||,623298,"(566,154–680,441)"
NC,"< $15,000",270,23.9,3.45,(17.1–30.6),||,103642,"(70,579–136,705)"
NC,"$15,000–<$25,000",455,17.6,2.42,(12.8–22.3),||,126936,"(89,091–164,780)"
NC,"$25,000–<$50,000",1028,14.0,1.35,(11.3–16.6),||,244526,"(195,202–293,849)"
NC,"$50,000–<$75,000",614,9.2,1.32,(6.6–11.8),||,99239,"(70,496–127,982)"
NC,">=$75,000",1457,12.7,1.11,(10.6–14.9),||,304382,"(248,848–359,915)"
ND,"< $15,000",199,22.9,4.51,(14.0–31.8),||,5634,"(3,066–8,202)"
ND,"$15,000–<$25,000",394,15.8,2.45,(11.0–20.6),||,5438,"(3,653–7,223)"
ND,"$25,000–<$50,000",1247,14.5,1.45,(11.6–17.3),||,17229,"(13,560–20,899)"
ND,"$50,000–<$75,000",903,12.9,1.65,(9.7–16.2),||,12133,"(8,855–15,410)"
ND,">=$75,000",1909,10.5,0.90,(8.8–12.3),||,21534,"(17,776–25,292)"
OH,"< $15,000",749,23.8,2.47,(19.0–28.7),||,112278,"(86,030–138,526)"
OH,"$15,000–<$25,000",1289,23.2,1.87,(19.6–26.9),||,177468,"(145,141–209,795)"
OH,"$25,000–<$50,000",3335,15.4,0.92,(13.6–17.2),||,311605,"(272,496–350,714)"
OH,"$50,000–<$75,000",2048,14.7,1.18,(12.4–17.0),||,202242,"(167,624–236,861)"
OH,">=$75,000",3983,11.7,0.70,(10.3–13.0),||,317586,"(278,460–356,712)"
OK,"< $15,000",309,20.5,2.89,(14.8–26.2),||,39801,"(27,565–52,037)"
OK,"$15,000–<$25,000",533,22.4,2.30,(17.9–26.9),||,67218,"(52,014–82,422)"
OK,"$25,000–<$50,000",1241,14.6,1.27,(12.1–17.1),||,102529,"(83,819–121,239)"
OK,"$50,000–<$75,000",726,16.7,1.76,(13.3–20.2),||,66321,"(51,530–81,113)"
OK,">=$75,000",1388,13.5,1.18,(11.2–15.8),||,99224,"(81,198–117,250)"
OR,"< $15,000",356,19.9,2.46,(15.1–24.7),||,46808,"(34,206–59,410)"
OR,"$15,000–<$25,000",667,20.0,1.84,(16.4–23.7),||,82845,"(66,298–99,393)"
OR,"$25,000–<$50,000",1159,16.2,1.31,(13.7–18.8),||,115362,"(95,679–135,045)"
OR,"$50,000–<$75,000",45,,,(.–.),||,2470,(.–.)
OR,">=$75,000",1693,15.2,1.02,(13.2–17.3),||,158797,"(136,578–181,015)"
PA,"< $15,000",266,20.2,3.03,(14.2–26.2),||,77983,"(53,393–102,573)"
PA,"$15,000–<$25,000",477,18.2,2.34,(13.7–22.8),||,134262,"(97,856–170,668)"
PA,"$25,000–<$50,000",1255,15.6,1.30,(13.0–18.1),||,317109,"(261,836–372,382)"
PA,"$50,000–<$75,000",885,13.5,1.42,(10.7–16.3),||,189289,"(147,888–230,690)"
PA,">=$75,000",2015,12.5,0.93,(10.7–14.4),||,406141,"(344,042–468,240)"
RI,"< $15,000",242,28.4,3.89,(20.8–36.1),||,11870,"(8,108–15,631)"
RI,"$15,000–<$25,000",334,16.4,2.48,(11.6–21.3),||,9209,"(6,346–12,073)"
RI,"$25,000–<$50,000",999,18.5,1.78,(15.0–22.0),||,31164,"(24,549–37,780)"
RI,"$50,000–<$75,000",720,16.7,2.09,(12.6–20.8),||,19284,"(13,970–24,598)"
RI,">=$75,000",2033,16.6,1.13,(14.4–18.9),||,48492,"(41,473–55,511)"
SC,"< $15,000",532,20.8,2.65,(15.6–26.0),||,48346,"(34,748–61,944)"
SC,"$15,000–<$25,000",921,18.1,2.03,(14.1–22.1),||,66251,"(49,950–82,551)"
SC,"$25,000–<$50,000",2203,13.5,1.15,(11.3–15.8),||,127913,"(105,096–150,729)"
SC,"$50,000–<$75,000",1291,13.7,1.43,(10.9–16.5),||,78595,"(61,204–95,987)"
SC,">=$75,000",2514,9.6,0.84,(7.9–11.2),||,92335,"(75,621–109,049)"
SD,"< $15,000",331,23.4,5.03,(13.6–33.3),||,7178,"(3,825–10,530)"
SD,"$15,000–<$25,000",559,13.8,3.70,(6.5–21.0),||,6318,"(2,717–9,918)"
SD,"$25,000–<$50,000",1724,15.7,2.29,(11.2–20.2),||,23699,"(16,432–30,967)"
SD,"$50,000–<$75,000",1096,8.3,1.73,(4.9–11.7),||,7976,"(4,628–11,324)"
SD,">=$75,000",1924,10.8,1.70,(7.5–14.1),||,21689,"(14,594–28,784)"
TN,"< $15,000",299,27.3,3.60,(20.2–34.3),||,94757,"(65,785–123,729)"
TN,"$15,000–<$25,000",468,19.2,2.49,(14.3–24.1),||,104302,"(74,350–134,254)"
TN,"$25,000–<$50,000",1107,15.3,1.41,(12.5–18.0),||,202030,"(162,628–241,432)"
TN,"$50,000–<$75,000",660,14.8,1.88,(11.1–18.5),||,111875,"(81,820–141,930)"
TN,">=$75,000",1311,11.9,1.14,(9.7–14.2),||,176736,"(141,917–211,555)"
TX,"< $15,000",698,13.5,1.99,(9.6–17.4),||,183454,"(127,862–239,045)"
TX,"$15,000–<$25,000",977,14.5,1.70,(11.1–17.8),||,292989,"(223,872–362,106)"
TX,"$25,000–<$50,000",2202,14.4,1.42,(11.6–17.2),||,676967,"(535,387–818,548)"
TX,"$50,000–<$75,000",1329,13.4,1.55,(10.4–16.5),||,347343,"(264,358–430,328)"
TX,">=$75,000",3196,11.4,0.90,(9.6–13.1),||,737347,"(620,031–854,663)"
UT,"< $15,000",325,23.7,2.92,(17.9–29.4),||,15795,"(11,478–20,112)"
UT,"$15,000–<$25,000",457,16.1,2.01,(12.2–20.1),||,16542,"(12,212–20,872)"
UT,"$25,000–<$50,000",1992,18.3,1.21,(16.0–20.7),||,81182,"(69,471–92,894)"
UT,"$50,000–<$75,000",1527,15.3,1.21,(12.9–17.7),||,52008,"(43,323–60,693)"
UT,">=$75,000",4059,13.1,0.66,(11.8–14.4),||,121559,"(108,910–134,208)"
VT,"< $15,000",239,30.8,4.63,(21.7–39.9),||,5822,"(3,773–7,871)"
VT,"$15,000–<$25,000",459,20.2,2.74,(14.8–25.5),||,7324,"(5,181–9,468)"
VT,"$25,000–<$50,000",1334,17.1,1.49,(14.2–20.1),||,17898,"(14,612–21,183)"
VT,"$50,000–<$75,000",990,17.2,1.85,(13.6–20.8),||,13246,"(10,160–16,331)"
VT,">=$75,000",2233,15.3,1.09,(13.1–17.4),||,26595,"(22,638–30,552)"
VA,"< $15,000",324,26.3,3.48,(19.5–33.2),||,57924,"(40,357–75,490)"
VA,"$15,000–<$25,000",592,24.2,2.62,(19.1–29.3),||,98575,"(74,568–122,583)"
VA,"$25,000–<$50,000",1768,15.1,1.10,(12.9–17.2),||,178081,"(151,583–204,580)"
VA,"$50,000–<$75,000",1307,12.5,1.17,(10.2–14.8),||,108204,"(87,273–129,136)"
VA,">=$75,000",3597,14.1,0.81,(12.5–15.7),||,364813,"(321,644–407,983)"
WA,"< $15,000",488,23.7,2.52,(18.8–28.7),||,53960,"(41,417–66,503)"
WA,"$15,000–<$25,000",828,21.3,2.04,(17.3–25.3),||,74919,"(58,847–90,990)"
WA,"$25,000–<$50,000",2527,17.4,1.11,(15.2–19.5),||,191302,"(164,840–217,764)"
WA,"$50,000–<$75,000",1850,15.9,1.20,(13.6–18.3),||,126763,"(106,337–147,189)"
WA,">=$75,000",4831,14.1,0.62,(12.9–15.3),||,337099,"(306,667–367,531)"
WV,"< $15,000",443,25.1,2.42,(20.4–29.9),||,24185,"(19,020–29,350)"
WV,"$15,000–<$25,000",747,23.0,1.95,(19.1–26.8),||,38019,"(30,785–45,253)"
WV,"$25,000–<$50,000",1767,17.0,1.14,(14.8–19.3),||,63557,"(54,412–72,702)"
WV,"$50,000–<$75,000",969,11.3,1.20,(9.0–13.7),||,22659,"(17,711–27,606)"
WV,">=$75,000",1670,13.6,1.08,(11.5–15.7),||,46594,"(38,855–54,334)"
WI,"< $15,000",213,24.6,4.37,(16.0–33.2),||,50672,"(30,174–71,170)"
WI,"$15,000–<$25,000",450,22.0,3.14,(15.8–28.1),||,67451,"(45,920–88,981)"
WI,"$25,000–<$50,000",1401,14.9,1.50,(12.0–17.9),||,146694,"(115,347–178,041)"
WI,"$50,000–<$75,000",1057,12.6,1.67,(9.3–15.9),||,93471,"(67,150–119,792)"
WI,">=$75,000",2108,13.8,1.03,(11.8–15.8),||,233140,"(197,479–268,800)"
WY,"< $15,000",168,26.5,5.36,(15.9–37.1),||,4723,"(2,445–7,002)"
WY,"$15,000–<$25,000",333,20.3,3.75,(12.9–27.6),||,6901,"(3,988–9,813)"
WY,"$25,000–<$50,000",1081,15.1,1.74,(11.7–18.5),||,16179,"(12,229–20,130)"
WY,"$50,000–<$75,000",692,14.7,2.05,(10.7–18.7),||,10560,"(7,427–13,693)"
WY,">=$75,000",1201,11.3,1.15,(9.0–13.5),||,14663,"(11,620–17,706)"
Territories,Territories,Territories,Territories,Territories,Territories,Territories,Territories,Territories
GU,"< $15,000",135,,,(.–.),||,1025,(.–.)
GU,"$15,000–<$25,000",189,,,(.–.),||,1196,(.–.)
GU,"$25,000–<$50,000",409,9.6,2.04,(5.6–13.6),||,2374,"(1,352–3,397)"
GU,"$50,000–<$75,000",191,,,(.–.),||,1365,(.–.)
GU,">=$75,000",444,10.0,1.83,(6.4–13.6),||,2235,"(1,436–3,035)"
PR,"< $15,000",1076,20.5,1.62,(17.3–23.7),||,166007,"(138,478–193,536)"
PR,"$15,000–<$25,000",846,14.8,1.55,(11.7–17.8),||,83905,"(65,991–101,819)"
PR,"$25,000–<$50,000",788,17.0,1.77,(13.6–20.5),||,82644,"(64,317–100,971)"
PR,"$50,000–<$75,000",227,15.7,3.43,(9.0–22.5),||,21715,"(11,343–32,087)"
PR,">=$75,000",210,14.1,2.99,(8.3–20.0),||,19288,"(10,713–27,863)"
VI,"< $15,000",127,,,(.–.),||,426,(.–.)
VI,"$15,000–<$25,000",136,,,(.–.),||,576,(.–.)
VI,"$25,000–<$50,000",375,7.3,1.97,(3.4–11.2),||,1556,"(817–2,295)"
VI,"$50,000–<$75,000",159,,,(.–.),||,1453,(.–.)
VI,">=$75,000",278,,,(.–.),||,1538,(.–.)
